Title,Author,Length
The Let Them Theory,Mel Robbins,Length: 10 hrs and 38 mins
By Your Side,Ruth Jones,Length: 10 hrs and 59 mins
The Salt Path,Raynor Winn,Length: 9 hrs and 1 min
Caught Up,Navessa Allen,Length: 10 hrs and 41 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
The Devils,Joe Abercrombie,Length: 25 hrs and 7 mins
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 25 mins
We Solve Murders,Richard Osman,Length: 10 hrs and 33 mins
Never Flinch,Stephen King,Length: 14 hrs and 44 mins
The Hotel Avocado,Bob Mortimer,Length: 9 hrs and 20 mins
The Thursday Murder Club,Richard Osman,Length: 12 hrs and 25 mins
The Secret Barrister,The Secret Barrister,Length: 11 hrs and 51 mins
Sunrise on the Reaping,Suzanne Collins,Length: 12 hrs and 48 mins
Onyx Storm,Rebecca Yarros,Length: 23 hrs and 52 mins
"I Love You, Byeee",Adam Buxton,Length: 10 hrs and 13 mins
The Satsuma Complex,Bob Mortimer,Length: 6 hrs and 52 mins
Fourth Wing,Rebecca Yarros,Length: 21 hrs and 22 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 43 mins
Unruly,David Mitchell,Length: 11 hrs and 39 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 12 hrs and 3 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 54 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 29 hrs and 1 min
The Primal Hunter 12,Zogarth,Length: 20 hrs and 7 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 20 hrs and 31 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 23 hrs and 59 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
Atmosphere,Taylor Jenkins Reid,Length: 9 hrs and 57 mins
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
Mythos,Stephen Fry,Length: 15 hrs and 36 mins
Lights Out,Navessa Allen,Length: 13 hrs and 38 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
The Names,Florence Knapp,Length: 9 hrs and 41 mins
A Different Kind of Power,Jacinda Ardern,Length: 12 hrs and 5 mins
The World’s Worst Superheroes,"David Walliams, Adam Stower - illustrator",Length: 3 hrs and 43 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 54 mins
Big Dunc,Duncan Ferguson,Length: 11 hrs and 11 mins
Quicksilver,Callie Hart,Length: 20 hrs and 41 mins
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
Here One Moment,Liane Moriarty,Length: 15 hrs and 53 mins
Children of Blood and Bone,Tomi Adeyemi,Length: 17 hrs and 44 mins
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
The Anxious Generation,Jonathan Haidt,Length: 10 hrs and 32 mins
The Man Who Died Twice,Richard Osman,Length: 12 hrs and 30 mins
The Last Devil to Die,Richard Osman,Length: 10 hrs and 51 mins
Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 47 mins
A Death on Location,Reverend Richard Coles,Length: 8 hrs and 29 mins
Odyssey,Stephen Fry,Length: 10 hrs and 36 mins
There Are Rivers in the Sky,Elif Shafak,Length: 16 hrs and 48 mins
Question of Guilt,Sally Rigby,Length: 6 hrs and 28 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
I Haven’t Been Entirely Honest with You,Miranda Hart,Length: 10 hrs and 9 mins
Marble Hall Murders,Anthony Horowitz,Length: 17 hrs and 39 mins
None of This Is True,Lisa Jewell,Length: 10 hrs and 29 mins
The Body Keeps the Score,Bessel van der Kolk,Length: 16 hrs and 16 mins
My Next Breath,Jeremy Renner,Length: 6 hrs and 35 mins
The Impossible Fortune,Richard Osman,Length: Not Yet Known
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
The Diary of a CEO,Steven Bartlett,Length: 6 hrs and 45 mins
The Hallmarked Man,Robert Galbraith,Length: 32 hrs
We All Live Here,Jojo Moyes,Length: 12 hrs and 38 mins
The Women,Kristin Hannah,Length: 14 hrs and 55 mins
Dungeon Crawler Carl,Matt Dinniman,Length: 13 hrs and 31 mins
Original Sin,"Jake Tapper, Alex Thompson",Length: 8 hrs and 51 mins
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 41 mins
Surrounded by Idiots,Thomas Erikson,Length: 10 hrs and 29 mins
Nightshade,Michael Connelly,Length: 9 hrs and 3 mins
The Trading Game,Gary Stevenson,Length: 12 hrs and 40 mins
The Bullet That Missed,Richard Osman,Length: 11 hrs and 17 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 45 mins
The Hobbit,J. R. R. Tolkien,Length: 10 hrs and 24 mins
The Tenant,Freida McFadden,Length: 8 hrs and 50 mins
Ultra-Processed People,Chris van Tulleken,Length: 12 hrs and 10 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Precipice,Robert Harris,Length: 12 hrs and 25 mins
Intermezzo,Sally Rooney,Length: 16 hrs and 30 mins
Careless People,Sarah Wynn-Williams,Length: 13 hrs and 16 mins
Why Has Nobody Told Me This Before?,Julie Smith,Length: 8 hrs and 39 mins
And Away...,Bob Mortimer,Length: 7 hrs and 59 mins
The Safekeep,Yael van der Wouden,Length: 9 hrs and 29 mins
The Handmaid's Tale,Margaret Atwood,Length: 11 hrs and 22 mins
Butter,Asako Yuzuki,Length: 17 hrs and 12 mins
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
He Who Fights with Monsters 12: A LitRPG Adventure,"Shirtaloon, Travis Deverell",Length: 19 hrs and 26 mins
What's Your Dream?,Simon Squibb,Length: 7 hrs and 56 mins
Piranesi,Susanna Clarke,Length: 6 hrs and 58 mins
All Fours,Miranda July,Length: 10 hrs and 13 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
The Chimp Paradox,Prof Steve Peters,Length: 9 hrs and 45 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 27 mins
